id,col_1,col_2,s_map_name,s_map_logo,s_map_togname,s_map_desc,parent_map_id,is_visiable,map_group,map_income,map_cell,currency_cost,item_cost,map_time,required_items,special_output_items,drop_group_id,bidder_number,auction_rounds_rate,map_random_skill,map_resource,tap_up
2101,未知快递,这是一批真正的“无主之物”，物流信息完全丢失，源头成谜。每一个包裹都像一个等待被揭示的命运盲盒，充满了无限可能与意外。,bid_map_N_2101,ui_map_icon_area_01,bid_map_N_2101,bid_map_D_2101,101,1,"[[2101,100],[2102,20],[2103,20],[2104,20],[2105,20],[2106,20],[2107,20]]",ui_value_low,10,"[1,1,0]","[[1,101,1]]","[40,40,40,40,40]","[[1,1,10000]]",[[]],"[9999,2101,16,32]",2,"[2000,1600,1300,1100,0]","[102,103,103,104,105]",iconmap_1,0
2102,医院快递,消毒水的气息隐约可闻，包裹形状规整不一，有的触手冰凉坚硬，有的则散发出淡淡的日常气息，仿佛来自一个功能完备的微型社区。,bid_map_N_2102,ui_map_icon_area_02,bid_map_N_2102,bid_map_D_2102,101,1,[[]],ui_value_low,10,"[1,1,0]","[[1,102,1]]","[40,40,40,40,40]","[[1,1,10000]]",[[]],"[9999,2102,16,32]",2,"[2000,1600,1300,1100,0]","[102,103,103,104,105]",iconmap_2,0
2103,超市快递,包裹散发着浓郁的生活气息，既有规整的方形包装，也有触感柔软的袋件，充满了市井的烟火味与实用的质感。,bid_map_N_2103,ui_map_icon_area_03,bid_map_N_2103,bid_map_D_2103,101,1,[[]],ui_value_low,10,"[1,1,0]","[[1,102,1]]","[40,40,40,40,40]","[[1,1,10000]]",[[]],"[9999,2103,16,32]",2,"[2000,1600,1300,1100,0]","[102,103,103,104,105]",iconmap_3,0
2104,学区快递,包裹重量轻重不一，有的棱角分明带有电子产品的精密感，有的则是规整的方形，散发着旧纸与油墨特有的沉稳气息。,bid_map_N_2104,ui_map_icon_area_04,bid_map_N_2104,bid_map_D_2104,101,1,[[]],ui_value_low,10,"[1,1,0]","[[1,102,1]]","[40,40,40,40,40]","[[1,1,10000]]",[[]],"[9999,2104,16,32]",2,"[2000,1600,1300,1100,0]","[102,103,103,104,105]",iconmap_4,0
2105,小区快递,最贴近生活的包裹堆，充满了家常的味道。从规整的家具包装到日常消耗品的触感，平凡中或许藏着不凡的惊喜。,bid_map_N_2105,ui_map_icon_area_05,bid_map_N_2105,bid_map_D_2105,101,1,[[]],ui_value_low,10,"[1,1,0]","[[1,102,1]]","[40,40,40,40,40]","[[1,1,10000]]",[[]],"[9999,2105,16,32]",2,"[2000,1600,1300,1100,0]","[102,103,103,104,105]",iconmap_5,0
2106,玩具店快递,包裹色彩鲜艳，充满活力。多数轻巧，但个别异常沉重坚硬，手感复杂，似乎装着为不同年龄层准备的“大型玩具”或专业装备。,bid_map_N_2106,ui_map_icon_area_06,bid_map_N_2106,bid_map_D_2106,101,1,[[]],ui_value_low,10,"[1,1,0]","[[1,102,1]]","[40,40,40,40,40]","[[1,1,10000]]",[[]],"[9999,2106,16,32]",2,"[2000,1600,1300,1100,0]","[102,103,103,104,105]",iconmap_6,0
2107,古董街快递,包裹散发着陈旧木材和特殊纸张的气味，手感或轻或重，个别小件却分量十足，仿佛承载着被时光打磨过的秘密。,bid_map_N_2107,ui_map_icon_area_07,bid_map_N_2107,bid_map_D_2107,101,1,[[]],ui_value_low,10,"[1,1,0]","[[1,102,1]]","[40,40,40,40,40]","[[1,1,10000]]",[[]],"[9999,2107,16,32]",2,"[2000,1600,1300,1100,0]","[102,103,103,104,105]",iconmap_7,0
2201,未知仓库,仓库主人身份成谜，留下的货物杂乱无章，从日常用品到造型奇特的器械应有尽有，每一次探索都是全新的谜题。,bid_map_N_2201,ui_map_icon_area_08,bid_map_N_2201,bid_map_D_2201,102,1,"[[2201,100],[2202,20],[2203,20],[2204,20],[2205,20]]",ui_value_lower,15,"[1,1,2000]",[[]],"[50,50,50,50,50]","[[1,1,100000]]",[[]],"[9999,2201,16,32]",4,"[2000,1600,1300,1100,0]","[102,103,103,104,105]",iconmap_8,0
2202,潮牌仓库,仓库里堆满未拆封的板式家具和蒙尘的模特架，所有物品贴着统一的品牌标签，风格鲜明，诉说着某个时代的流行印记。,bid_map_N_2202,ui_map_icon_area_09,bid_map_N_2202,bid_map_D_2202,102,1,[[]],ui_value_lower,15,"[1,1,2000]","[[1,103,1]]","[50,50,50,50,50]","[[1,1,100000]]",[[]],"[9999,2202,16,32]",4,"[2000,1600,1300,1100,0]","[102,103,103,104,105]",iconmap_9,0
2203,硬核资产仓库,空气中弥漫着机油与电路板的味道，被厚重篷布覆盖的硬朗轮廓与密集的仪器箱共存，充满了未释放的能量感。,bid_map_N_2203,ui_map_icon_area_10,bid_map_N_2203,bid_map_D_2203,102,1,[[]],ui_value_lower,15,"[1,1,2000]","[[1,103,1]]","[50,50,50,50,50]","[[1,1,100000]]",[[]],"[9999,2203,16,32]",4,"[2000,1600,1300,1100,0]","[102,103,103,104,105]",iconmap_10,0
2204,民生储备仓库,甜腻、腐败与苦涩的药味混合，货架上堆满了各式密封包装，它们的价值在时间的侵蚀下变得极其微妙。,bid_map_N_2204,ui_map_icon_area_11,bid_map_N_2204,bid_map_D_2204,102,1,[[]],ui_value_lower,15,"[1,1,2000]","[[1,103,1]]","[50,50,50,50,50]","[[1,1,100000]]",[[]],"[9999,2204,16,32]",4,"[2000,1600,1300,1100,0]","[102,103,103,104,105]",iconmap_11,0
2205,书店仓库,仓库深处，落灰的箱奁与卷轴筒堆积如山，寂静中弥漫着时光的气息，真伪与价值都隐藏在厚厚的尘埃之下。,bid_map_N_2205,ui_map_icon_area_12,bid_map_N_2205,bid_map_D_2205,102,1,[[]],ui_value_lower,15,"[1,1,2000]","[[1,103,1]]","[50,50,50,50,50]","[[1,1,100000]]",[[]],"[9999,2205,16,32]",4,"[2000,1600,1300,1100,0]","[102,103,103,104,105]",iconmap_12,0
2301,杂货集装箱,集装箱标签破损，记录混乱。它像海上的幽灵货柜，内容物在多次转手后已成谜团，开启它是真正的冒险。,bid_map_N_2301,ui_map_icon_area_13,bid_map_N_2301,bid_map_D_2301,103,1,"[[2301,100],[2302,20],[2303,20],[2304,20],[2305,20],[2306,20],[2307,20],[2308,20],[2309,20],[2310,20]]",ui_value_medium ,20,"[1,1,5000]",[[]],"[50,50,50,50,50]","[[1,1,500000]]",[[]],"[9999,2301,18,36]",4,"[2000,1600,1300,1100,0]","[103,0,103,0,103]",iconmap_13,0
2302,家居集装箱,箱内是精心包裹的现代家居构件与织物，风格统一，宛如一个跨越重洋、等待被重新定义的生活空间样本。,bid_map_N_2302,ui_map_icon_area_14,bid_map_N_2302,bid_map_D_2302,103,1,[[]],ui_value_medium ,20,"[1,1,5000]","[[1,104,1]]","[50,50,50,50,50]","[[1,1,500000]]",[[]],"[9999,2302,18,36]",4,"[2000,1600,1300,1100,0]","[103,0,103,0,103]",iconmap_14,0
2303,数码科技集装箱,箱体有特殊加固痕迹，敲击声沉闷。内部传来隐约的电流嗡鸣与金属冷感，内容物显然需要专业对待。,bid_map_N_2303,ui_map_icon_area_15,bid_map_N_2303,bid_map_D_2303,103,1,[[]],ui_value_medium ,20,"[1,1,5000]","[[1,104,1]]","[50,50,50,50,50]","[[1,1,500000]]",[[]],"[9999,2303,18,36]",4,"[2000,1600,1300,1100,0]","[103,0,103,0,103]",iconmap_15,0
2304,冷链集装箱,冷藏箱的寂静内部，复杂的气味暗示着内容物正处于蜕变临界点，结局的天平摇摆不定。,bid_map_N_2304,ui_map_icon_area_16,bid_map_N_2304,bid_map_D_2304,103,1,[[]],ui_value_medium ,20,"[1,1,5000]","[[1,104,1]]","[50,50,50,50,50]","[[1,1,500000]]",[[]],"[9999,2304,18,36]",4,"[2000,1600,1300,1100,0]","[103,0,103,0,103]",iconmap_16,0
2305,古董工艺集装箱,箱体老旧，散发着异域的陈旧气息。内里的容器大小不一，手感或轻或重，秘密与风险被紧紧锁住。,bid_map_N_2305,ui_map_icon_area_17,bid_map_N_2305,bid_map_D_2305,103,1,[[]],ui_value_medium ,20,"[1,1,5000]","[[1,104,1]]","[50,50,50,50,50]","[[1,1,500000]]",[[]],"[9999,2305,18,36]",4,"[2000,1600,1300,1100,0]","[103,0,103,0,103]",iconmap_17,0
2306,文博集装箱,箱门开启，是扑鼻的旧纸墨香。里面堆满了各种材质的储藏箱，堪称一座处于静默状态的私人资料库。,bid_map_N_2306,ui_map_icon_area_18,bid_map_N_2306,bid_map_D_2306,103,1,[[]],ui_value_medium ,20,"[1,1,5000]","[[1,104,1]]","[50,50,50,50,50]","[[1,1,500000]]",[[]],"[9999,2306,18,36]",4,"[2000,1600,1300,1100,0]","[103,0,103,0,103]",iconmap_18,0
