map_id,name,description,rank_level_brackets,category_weights,value_brackets,extra_params
2101,未知快递,这是一批真正的“无主之物”，物流信息完全丢失，源头成谜。每一个包裹都像一个等待被揭示的命运盲盒，充满了无限可能与意外。,"[[11,15,1000],[16,20,1000],[21,25,50],[26,30,50]]","[[101,50],[102,50],[103,50],[104,100],[105,20],[106,50],[107,200],[108,150],[109,50],[110,150],[201,100],[202,50],[203,150],[204,100],[205,50],[206,50],[207,100],[208,50],[209,300],[301,100]]","[[1000,2000,200],[2001,5000,200],[5001,10000,20]]","[10,1,100,1,1000,500,10000,200]"
2102,医院快递,消毒水的气息隐约可闻，包裹形状规整不一，有的触手冰凉坚硬，有的则散发出淡淡的日常气息，仿佛来自一个功能完备的微型社区。,"[[11,15,1000],[16,20,1000],[21,25,50],[26,30,50]]","[[101,50],[102,50],[103,50],[104,100],[105,20],[106,50],[107,200],[108,150],[109,500],[110,150],[201,100],[202,50],[203,150],[204,100],[205,50],[206,50],[207,100],[208,50],[209,300],[301,100]]","[[1000,2000,200],[2001,5000,200],[5001,10000,20]]","[10,1,100,1,1000,500,10000,200]"
2103,超市快递,包裹散发着浓郁的生活气息，既有规整的方形包装，也有触感柔软的袋件，充满了市井的烟火味与实用的质感。,"[[11,15,1000],[16,20,1000],[21,25,50],[26,30,50]]","[[101,50],[102,50],[103,50],[104,100],[105,20],[106,50],[107,200],[108,150],[109,50],[110,150],[201,100],[202,500],[203,150],[204,100],[205,50],[206,50],[207,100],[208,50],[209,300],[301,100]]","[[1000,2000,200],[2001,5000,200],[5001,10000,20]]","[10,1,100,1,1000,500,10000,200]"
2104,学区快递,包裹重量轻重不一，有的棱角分明带有电子产品的精密感，有的则是规整的方形，散发着旧纸与油墨特有的沉稳气息。,"[[11,15,1000],[16,20,1000],[21,25,50],[26,30,50]]","[[101,50],[102,50],[103,50],[104,100],[105,20],[106,50],[107,200],[108,150],[109,50],[110,150],[201,100],[202,200],[203,150],[204,100],[205,50],[206,200],[207,100],[208,50],[209,300],[301,100]]","[[1000,2000,200],[2001,5000,200],[5001,10000,20]]","[10,1,100,1,1000,500,10000,200]"
2105,小区快递,最贴近生活的包裹堆，充满了家常的味道。从规整的家具包装到日常消耗品的触感，平凡中或许藏着不凡的惊喜。,"[[11,15,1000],[16,20,1000],[21,25,50],[26,30,50]]","[[101,50],[102,50],[103,50],[104,100],[105,20],[106,150],[107,200],[108,150],[109,50],[110,150],[201,100],[202,200],[203,150],[204,100],[205,50],[206,100],[207,100],[208,50],[209,300],[301,100]]","[[1000,2000,200],[2001,5000,200],[5001,10000,20]]","[10,1,100,1,1000,500,10000,200]"
2106,玩具店快递,包裹色彩鲜艳，充满活力。多数轻巧，但个别异常沉重坚硬，手感复杂，似乎装着为不同年龄层准备的“大型玩具”或专业装备。,"[[11,15,1000],[16,20,1000],[21,25,50],[26,30,50]]","[[101,200],[102,50],[103,50],[104,100],[105,20],[106,50],[107,200],[108,150],[109,50],[110,150],[201,100],[202,200],[203,150],[204,100],[205,300],[206,100],[207,100],[208,50],[209,300],[301,100]]","[[1000,2000,200],[2001,5000,200],[5001,10000,20]]","[10,1,100,1,1000,500,10000,200]"
2107,古董街快递,包裹散发着陈旧木材和特殊纸张的气味，手感或轻或重，个别小件却分量十足，仿佛承载着被时光打磨过的秘密。,"[[11,15,1000],[16,20,1000],[21,25,50],[26,30,50]]","[[101,500],[102,50],[103,50],[104,100],[105,20],[106,50],[107,200],[108,150],[109,50],[110,150],[201,100],[202,200],[203,150],[204,100],[205,50],[206,100],[207,500],[208,50],[209,300],[301,100]]","[[1000,2000,200],[2001,5000,200],[5001,10000,20]]","[10,1,100,1,1000,500,10000,200]"
2201,未知仓库,仓库主人身份成谜，留下的货物杂乱无章，从日常用品到造型奇特的器械应有尽有，每一次探索都是全新的谜题。,"[[11,15,1000],[16,20,1000],[21,25,50],[26,30,50]]","[[101,50],[102,50],[103,50],[104,100],[105,20],[106,50],[107,200],[108,150],[109,50],[110,150],[201,100],[202,50],[203,150],[204,100],[205,50],[206,50],[207,100],[208,50],[209,300],[301,100]]","[[2001,5000,20],[5001,10000,50],[10000,20000,20]]","[10,1,100,1,1000,100,10000,200,100000,5]"
2202,潮牌仓库,仓库里堆满未拆封的板式家具和蒙尘的模特架，所有物品贴着统一的品牌标签，风格鲜明，诉说着某个时代的流行印记。,"[[11,15,1000],[16,20,1000],[21,25,50],[26,30,50]]","[[101,50],[102,50],[103,50],[104,100],[105,400],[106,500],[107,200],[108,150],[109,50],[110,150],[201,100],[202,200],[203,150],[204,100],[205,50],[206,100],[207,500],[208,50],[209,300],[301,100]]","[[2001,5000,20],[5001,10000,50],[10000,20000,20]]","[10,1,100,1,1000,100,10000,200,100000,5]"
2203,硬核资产仓库,空气中弥漫着机油与电路板的味道，被厚重篷布覆盖的硬朗轮廓与密集的仪器箱共存，充满了未释放的能量感。,"[[11,15,1000],[16,20,1000],[21,25,50],[26,30,50]]","[[101,50],[102,50],[103,50],[104,100],[105,50],[106,50],[107,200],[108,150],[109,50],[110,150],[201,100],[202,200],[203,150],[204,100],[205,500],[206,100],[207,500],[208,50],[209,300],[301,100]]","[[2001,5000,20],[5001,10000,50],[10000,20000,20]]","[10,1,100,1,1000,100,10000,200,100000,5]"
2204,民生储备仓库,甜腻、腐败与苦涩的药味混合，货架上堆满了各式密封包装，它们的价值在时间的侵蚀下变得极其微妙。,"[[11,15,1000],[16,20,1000],[21,25,50],[26,30,50]]","[[101,50],[102,50],[103,50],[104,100],[105,50],[106,50],[107,200],[108,150],[109,500],[110,150],[201,100],[202,200],[203,500],[204,100],[205,500],[206,100],[207,50],[208,50],[209,300],[301,100]]","[[2001,5000,20],[5001,10000,50],[10000,20000,20]]","[10,1,100,1,1000,100,10000,200,100000,5]"
2205,书店仓库,仓库深处，落灰的箱奁与卷轴筒堆积如山，寂静中弥漫着时光的气息，真伪与价值都隐藏在厚厚的尘埃之下。,"[[11,15,1000],[16,20,1000],[21,25,50],[26,30,50]]","[[101,50],[102,50],[103,50],[104,100],[105,50],[106,50],[107,200],[108,150],[109,50],[110,150],[201,100],[202,200],[203,500],[204,100],[205,50],[206,500],[207,50],[208,50],[209,300],[301,100]]","[[2001,5000,20],[5001,10000,50],[10000,20000,20]]","[10,1,100,1,1000,100,10000,200,100000,5]"
2301,杂货集装箱,集装箱标签破损，记录混乱。它像海上的幽灵货柜，内容物在多次转手后已成谜团，开启它是真正的冒险。,"[[11,15,1000],[16,20,1000],[21,25,50],[26,30,50]]","[[101,50],[102,50],[103,100],[104,100],[105,50],[106,50],[107,200],[108,150],[109,50],[110,150],[201,100],[202,200],[203,100],[204,100],[205,50],[206,500],[207,50],[208,50],[209,300],[301,150]]","[[2001,5000,1],[5001,10000,2],[10000,20000,5],[20001,50000,200],[50001,100000,100]]","[10,1,100,1,1000,20,10000,200,100000,10]"
2302,家居集装箱,箱内是精心包裹的现代家居构件与织物，风格统一，宛如一个跨越重洋、等待被重新定义的生活空间样本。,"[[11,15,1000],[16,20,1000],[21,25,50],[26,30,50]]","[[101,50],[102,500],[103,100],[104,100],[105,500],[106,500],[107,200],[108,150],[109,50],[110,150],[201,100],[202,500],[203,50],[204,100],[205,50],[206,50],[207,50],[208,50],[209,300],[301,150]]","[[2001,5000,1],[5001,10000,2],[10000,20000,5],[20001,50000,200],[50001,100000,100]]","[10,1,100,1,1000,20,10000,200,100000,10]"
2303,数码科技集装箱,箱体有特殊加固痕迹，敲击声沉闷。内部传来隐约的电流嗡鸣与金属冷感，内容物显然需要专业对待。,"[[11,15,1000],[16,20,1000],[21,25,50],[26,30,50]]","[[101,50],[102,50],[103,100],[104,100],[105,50],[106,500],[107,200],[108,150],[109,50],[110,150],[201,100],[202,200],[203,50],[204,100],[205,1000],[206,50],[207,50],[208,50],[209,300],[301,150]]","[[2001,5000,1],[5001,10000,2],[10000,20000,5],[20001,50000,200],[50001,100000,100]]","[10,1,100,1,1000,20,10000,200,100000,10]"
2304,冷链集装箱,冷藏箱的寂静内部，复杂的气味暗示着内容物正处于蜕变临界点，结局的天平摇摆不定。,"[[11,15,1000],[16,20,1000],[21,25,50],[26,30,50]]","[[101,50],[102,50],[103,100],[104,100],[105,50],[106,100],[107,200],[108,150],[109,500],[110,150],[201,100],[202,200],[203,500],[204,100],[205,50],[206,50],[207,50],[208,50],[209,300],[301,150]]","[[2001,5000,1],[5001,10000,2],[10000,20000,5],[20001,50000,200],[50001,100000,100]]","[10,1,100,1,1000,20,10000,200,100000,10]"
2305,古董工艺集装箱,箱体老旧，散发着异域的陈旧气息。内里的容器大小不一，手感或轻或重，秘密与风险被紧紧锁住。,"[[11,15,1000],[16,20,1000],[21,25,50],[26,30,50]]","[[101,500],[102,500],[103,100],[104,100],[105,50],[106,100],[107,200],[108,150],[109,50],[110,150],[201,100],[202,200],[203,150],[204,100],[205,50],[206,500],[207,500],[208,50],[209,300],[301,150]]","[[2001,5000,1],[5001,10000,2],[10000,20000,5],[20001,50000,200],[50001,100000,100]]","[10,1,100,1,1000,20,10000,200,100000,10]"
2306,文博集装箱,箱门开启，是扑鼻的旧纸墨香。里面堆满了各种材质的储藏箱，堪称一座处于静默状态的私人资料库。,"[[11,15,1000],[16,20,1000],[21,25,50],[26,30,50]]","[[101,50],[102,50],[103,100],[104,100],[105,50],[106,50],[107,200],[108,150],[109,50],[110,150],[201,100],[202,200],[203,150],[204,100],[205,50],[206,500],[207,150],[208,50],[209,300],[301,150]]","[[2001,5000,1],[5001,10000,2],[10000,20000,5],[20001,50000,200],[50001,100000,100]]","[10,1,100,1,1000,20,10000,200,100000,10]"
2307,奢华集装箱,外观普通的集装箱内藏着坚实的保密箱，分量惊人，静谧中透着一种不言自明的贵重感。,"[[11,15,1000],[16,20,1000],[21,25,50],[26,30,50]]","[[101,50],[102,500],[103,100],[104,100],[105,50],[106,50],[107,200],[108,150],[109,50],[110,150],[201,100],[202,200],[203,150],[204,100],[205,50],[206,50],[207,100],[208,50],[209,300],[301,150]]","[[2001,5000,1],[5001,10000,2],[10000,20000,5],[20001,50000,200],[50001,100000,100]]","[10,1,100,1,1000,20,10000,200,100000,10]"
