Id,Chinese,Chinese_Temp,English,Traditional,Spanish,Russian,Japenese,Thai,Italian,Portuguese,Vietnam,Korean,German,French,Indonesia
achievement_tipsname_1001,生涯,生涯,Career,生涯,Carrera,Карьера,生涯,อาชีพ,Carriera,Carreira,Hành Trình,생애,Laufbahn,Carrière,Karier
achievement_tipsname_1002,收藏,收藏,Collection,收藏,Colección,Коллекция,コレクション,รายการโปรด,Favoriti,Coleção,BST,컬렉션,Sammlung,Collection,Koleksi
achievement_tipsname_1003,竞拍,竞拍,Bidding,競拍,Puja,Ставка,入札,การประมูล,Offerta,Lance,Đấu giá,입찰,Gebot,Enchère,Penawaran
area_name_1,亚洲,九洲,Asia,亞洲,Asia,Азия,アジア,เอเชีย,Asia,Ásia,Châu Á,아시아,Asien,Asie,Asia
area_name_101,大熊猫,大熊猫,Giant Panda,大熊貓,Panda gigante,Панда,ジャイアントパンダ,แพนด้ายักษ์,Panda gigante,Panda,Gấu Trúc,판다,Riesenpanda,Panda géant,Panda Raksasa
area_name_102,丹顶鹤,丹顶鹤,Red-crowned Crane,丹頂鶴,Grulla de corona roja,Японский журавль,タンチョウ,นกกระเรียนมงกุฎแดง,Gru della Manciuria,Grou-da-Manchúria,Sếu Đầu Đỏ,두루미,Rotkronenkranich,Grue à couronne rouge,Bangau Mahkota Merah
area_name_103,朱鹮,朱鹮,Crested ibis,朱䴉,Ibis rojo,Красноногий ибис,トキ,นกอีบิสเครสเต็ด,Ibis giapponese,Ibís-de-Poupa,Cò Thìa Mào Đỏ,따오기,Japanischer Ibis,Ibis huppé,Ibis Jambul
area_name_104,梅花鹿,梅花鹿,Sika Deer,梅花鹿,Ciervo sika,Пятнистый олень,ニホンジカ,กวางซีกา,Cervo shika,Cervo-Sika,Hươu Sao,꽃사슴,Sikahirsch,Cerf sika,Rusa Sika
area_name_105,北海道赤狐,赤狐,Hokkaido red fox,北海道赤狐,Zorro rojo de Hokkaido,Хоккайдская лисица,キタキツネ,จิ้งจอกแดงเอโซะ,Volpe di Hokkaido,Raposa Vermelha de Hokkaido,Cáo Đỏ Hokkaido,북방여우,Hokkaido-Rotfuchs,Renard roux d'Hokkaido,Rubah Merah Ezo
area_name_106,亚洲象,象,Asian elephant,亞洲象,Elefante asiático,Индийский слон,アジアゾウ,ช้างเอเชีย,Elefante asiatico,Elefante Asiático,Voi Châu Á,아시아코끼리,Asien-Elefant,Éléphant d'Asie,Gajah Asia
area_name_107,绿孔雀,绿孔雀,Green Peacock,綠孔雀,Pavo real verde,Зелёный павлин,マクジャク,นกยูงเขียว,Pavone verde,Pavão Verde,Chim Công Lục,자바공작,Grünpfau,Paon vert,Merak Hijau
area_name_108,红毛猩猩,红毛猩猩,Orangutan,紅毛猩猩,Orangután,Орангутан,オランウータン,อุรังอุตัง,Orangotango,Orangotango,Đười Ươi,오랑우탄,Orang-Utan,Orang-outan,Orang Utan
area_name_109,云豹,云豹,Clouded Leopard,雲豹,Leopardo nublado,Дымчатый леопард,ウンピョウ,เสือลายเมฆ,Leopardo nebuloso,Leopardo Nebuloso,Báo Gấm,구름표범,Nebelparder,Panthère nébuleuse,Macan Pohon
area_name_110,犀鸟,犀鸟,Hornbill,犀鳥,Cálao,Птица-носорог,サイチョウ,นกเงือก,Bucero,Calau,Chim Hồng Hoàng,코뿔새,Hornvogel,Toucan,Rangkong
area_name_111,孟加拉虎,虎,Bengal tiger,孟加拉虎,Tigre de Bengala,Бенгальский тигр,ベンガルトラ,เสือโคร่งเบงกอล,Tigre del Bengala,Tigre de Bengala,Hổ Bengal,벵골호랑이,Bengaltiger,Tigre du Bengale,Harimau Benggala
area_name_112,懒熊,懒熊,Sloth Bear,懶熊,Oso perezoso,Губач,ナマケグマ,หมีสลอธ,Orso labiato,Urso Beiçudo,Gấu Lười,느림보곰,Faulbär,Ours lippu,Kungkang
area_name_113,恒河豚,豚,Ganges River Dolphin,恆河豚,Delfín del Ganges,Сусу,ガンジスカワイルカ,โลมาแม่น้ำคงคา,Platanista gangetica,Golfinho do Indo,Cá Heo Sông Hằng,갠지스강돌고래,Gangesdelfin,Dauphin du Gange,Lumba-Lumba Gangga
area_name_114,雪豹,雪豹,Snow leopard,雪豹,Leopardo de las nieves,Ирбис,ユキヒョウ,เสือดาวหิมะ,Leopardo delle nevi,Leopardo das Neves,Báo Tuyết,눈표범,Schneeleopard,Panthère des neiges,Macan Tutul Salju
area_name_115,野牦牛,野牦牛,Wild yak,野犛牛,Yak salvaje,Як,ヤク,จามรีป่า,Yak selvatico,Iaque Selvagem,Bò Hoang Tây Tạng,야크,Wildyak,Yak sauvage,Yak Liar
area_name_116,双峰驼,双峰驼,Bactrian camel,雙峰駝,Camello bactriano,Двугорбый верблюд,フタコブラクダ,อูฐสองหนอก,Cammello,Camelo Bactriano,Lạc Đà Hai Bướu,쌍봉낙타,Doppelhöckriges Kamel,Chameau de Bactriane,Unta Baktria
area_name_2,北美洲,拉莱耶,North America,北美洲,América del Norte,Северная Америка,北アメリカ,อเมริกาเหนือ,Nord America,América do Norte,Bắc Mỹ,북아메리카,Nordamerika,Amérique du Nord,Amerika Utara
area_name_201,美洲野牛,野牛,American bison,美洲野牛,Bisonte americano,Бизон,アメリカバイソン,ควายไบซันอเมริกัน,Bisonte americano,Bisão Americano,Bò Bison Châu Mỹ,아메리카들소,Amerikanischer Bison,Bison d'Amérique,Bison Amerika
area_name_202,灰狼,灰狼,Grey Wolf,灰狼,Lobo gris,Волк,ハイイロオオカミ,หมาป่าสีเทา,Lupo grigio,Lobo Cinzento,Sói Xám,회색늑대,Timberwolf,Loup gris,Serigala
area_name_203,美洲狮,美洲狮,Mountain Lion,美洲獅,Puma,Пума,ピューマ,เสือพูมา,Puma,Onça Parda,Báo Sư Tử,퓨마,Puma,Puma,Puma
area_name_204,猞猁,猞猁,Lynx,猞猁,Lince,Рысь,オオヤマネコ,ลิงซ์ยูเรเชีย,Lince,Lince Europeu,Linh Miêu,스라소니,Wildluchs,Lynx,Lynx
area_name_205,大角羊,大角羊,Bighorn Sheep,大角羊,Carnero de las Rocosas,Толсторог,ビッグホーン,แกะเขาใหญ่,Pecora delle Montagne Rocciose,Carneiro Selvagem,Cừu Sừng Lớn,큰뿔양,Großhornschaf,Mouflon d'Amérique,Domba Tanduk Besar
area_name_206,美洲黑熊,黑熊,American black bear,美洲黑熊,Oso negro americano,Барибал,アメリカクロクマ,หมีดำ,Orso nero,Urso Negro,Gấu Đen Mỹ,아메리카흑곰,Amerikanischer Schwarzbär,Ours noir d'Amérique,Beruang Hitam Amerika
area_name_207,美洲河狸,河狸,Beaver,美洲河狸,Castor americano,Канадский бобр,アメリカビーバー,บีเวอร์อเมริกาเหนือ,Castoro americano,Castos Americano,Hải Ly Bắc Mỹ,아메리카비버,Amerikanischer Biber,Castor du Canada,Biwara Amerika
area_name_208,叉角羚,叉角羚,Pronghorn antelope,叉角羚,Berrendo,Вилорог,プロングホーン,แอนติโลปเขาแหลม,Antilocapra,Antilocapra,Linh Dương Sừng Nhánh,가지뿔영양,Gabelhornantilope,Antilope d'Amérique,Antelop Tanduk Cabang
area_name_209,美洲郊狼,郊狼,Coyote,美洲郊狼,Coyote,Койот,コヨーテ,หมาป่าไคโยตี,Coyote,Chacal Americano,Sói Đồng Cỏ,코요테,Kojote,Coyote,Koyote Amerika
area_name_210,九带犰狳,九带犰狳,Nine-banded armadillo,九帶犰狳,Armadillo de nueve bandas,Девятипоясный броненосец,ココノオビアルマジロ,อาร์มาดิลโล่เก้าแถบ,Armadillo a nove fasce,Tatu-galinha,Tatu Chín Đai,아홉띠아르마딜로,Neunbindenarmadillo,Tatou à neuf bandes,Armadilo Sembilan Lurik
area_name_211,更格卢鼠,更格卢鼠,Gerbils,更格盧鼠,Rata canguro,Кенгуру,カンガルーネズミ,หนูจิงโจ้,Ratto canguro,Dipodomys,Chuột Kangaroo,캥거루쥐,Kängururatte,Rat-kangourou,Tikus Kanguru
area_name_212,白头海雕,白头海雕,Bald Eagle,白頭海雕,Águila calva,Белоголовый орлан,ハクトウワシ,นกอินทรีหัวขาว,Aquila di mare testabianca,Águia Careca,Đại Bàng Đầu Trắng,흰머리수리,Weißkopfseeadler,Pygargue à tête blanche,Elang Botak
area_name_213,角鸮,角鸮,Horned Owl,角鴞,Búho cornudo,Совка,コノハズク,นกเค้ากู่,Gufo della Virginia,Otus,Cú Sừng Lớn,소쩍새,Hornkauz,Hibou petit-duc,Celepuk
area_name_214,游隼,游隼,Peregrine Falcon,遊隼,Halcón peregrino,Сапсан,ハヤブサ,เหยี่ยวเพเรกริน,Falco pellegrino,Falcão Peregrino,Chim Cắt Peregrine,매,Wanderfalke,Faucon pèlerin,Alap-Alap
area_name_215,美洲河乌,河乌,American Dipper,美洲河烏,Mirlo acuático americano,Оляпка,アメリカカワガラス,นกกระเต็นอเมริกัน,Merlo acquaiolo americano,Mergulhão d'Água,Chim Lặn Mỹ,미국 물까마귀,Amerikanische Wasseramsel,Cincle d'Amérique,Ciduk Amerika
area_name_216,驼背鲸,驼背鲸,Humpback whale,駝背鯨,Ballena jorobada,Горбатый кит,ザトウクジラ,วาฬหลังค่อม,Megattera,Baleia Corcunda,Cá Voi Lưng Gù,혹등고래,Buckelwal,Baleine à bosse,Paus Bungkuk
area_name_217,美洲鳄,鳄,American Alligator,美洲鱷,Caimán americano,Острорылый крокодил,アメリカワニ,จระเข้อเมริกา,Coccodrillo americano,Crocodilo Americano,Cá Sấu Mỹ,아메리카악어,Amerikanischer Alligator,Crocodile américain,Buaya Amerika
area_name_3,南美洲,弇州,South America,南美洲,América del Sur,Южная Америка,南アメリカ,อเมริกาใต้,Sud America,América do Sul,Nam Mỹ,남아메리카,Südamerika,Amérique du Sud,Amerika Selatan
area_name_301,美洲豹,豹,Jaguar,美洲豹,Jaguar,Ягуар,ジャガー,เสือจากัวร์,Giaguaro,Onça Pintada,Báo Đốm Mỹ,재규어,Jaguar,Jaguar,Jaguar
area_name_302,水豚,水豚,Capybara,水豚,Capibara,Капибара,カピバラ,คาปิบารา,Capibara,Capivara,Chuột Lang Nước,카피바라,Capybara,Capybara,Kapibara
area_name_303,金刚鹦鹉,金刚鹦鹉,Macaw,金剛鸚鵡,Guacamayo,Ара,コンゴウインコ,มาคอว์,Ara gialloblù,Arara,Vẹt Đuôi Dài,금강앵무,Großer Ara,Ara,Burung Makaw
area_name_304,树懒,树懒,Sloth,樹懶,Perezoso,Ленивец,ナマケモノ,สลอธ,Bradipo,Preguiça,Lười,나무늘보,Faultier,Paresseux,Kukang
area_name_305,箭毒蛙,箭毒蛙,Poison Dart Frog,箭毒蛙,Rana venenosa,Древолаз,ヤドクガエル,กบลูกศรพิษ,Rana freccia,Dendrobatidae,Ếch Phi Tiêu Độc,독화살개구리,Pfeilgiftfrosch,Grenouille à flèches empoisonnées,Katak Beracun
area_name_306,安第斯神鹫,神鹫,Andean condor,安第斯神鷲,Cóndor andino,Андский гриф,アンデスコンドル,แร้งคอนดอร์แอนดีส,Condor delle Ande,Condor dos Andes,Kền Kền Andes,안데스콘도르,Andenkondor,Condor des Andes,Kondor Andes
area_name_307,羊驼,羊驼,Alpaca,羊駝,Alpaca,Альпака,アルパカ,อัลปาก้า,Alpaca,Alpaca,Alpaca,알파카,Alpaka,Alpaga,Alpaka
area_name_308,眼镜熊,眼镜熊,Spectacled bear,眼鏡熊,Oso de anteojos,Очковый медведь,メガネグマ,หมีแว่น,Orso dagli occhiali,Urso-de-Óculos,Gấu Andes,안경곰,Brillenbär,Ours à lunettes,Beruang Andes
area_name_309,大食蚁兽,大食蚁兽,Giant anteater,大食蟻獸,Oso hormiguero gigante,Гигантский муравьед,オオアリクイ,ตัวกินมดยักษ์,Formichiere gigante,Jurumim,Thú Ăn Kiến Khổng Lồ,큰개미핥기,Riesen-Ameisenbär,Tamanoir,Pemakan Semut Raksasa
area_name_310,南美浣熊,浣熊,South American Raccoon,南美浣熊,Mapache sudamericano,Носуха,アカハナグマ,โคอาตีอเมริกาใต้,Coati rosso,Coati,Gấu Mèo Coati,남아메리카코아티,Südamerikanischer Waschbär,Coati roux,Koati Amerika Selatan
area_name_311,美洲驼,美洲驼,Llama,美洲駝,Llama,Лама,リャマ,ลามินี,Lama,Lama,Lạc Đà Nam Mỹ,라마,Lama,Lama,Lamini
area_name_312,秘鲁鸊鷉,鸊鷉,Puna Grebe,秘魯鸊鷉,Zambullidor peruano,Перуанская поганка,ペルーカイツブリ,นกเป็ดผีจูนิน,Svasso della Puna,Mergulhão do Junim,Chim Lặn Peru,페루논병아리,Peru-Taucher,Grèbe du Pérou,Titihan Junin
area_name_313,犰狳,犰狳,Armadillo,犰狳,Armadillo,Броненосец,アルマジロ,ตัวนิ่ม,Armadillo,Tatu,Tê Tê,아르마딜로,Armadillo,Tatou,Dasypodidae
area_name_314,水蟒,水蟒,Water Python,水蟒,Anaconda,Анаконда,アナコンダ,งูอนาคอนดาเขียว,Anaconda,Anaconda,Trăn Anaconda,아나콘다,Anakonda,Anaconda,Anakonda
area_name_315,蜂鸟,蜂鸟,Hummingbird,蜂鳥,Colibrí,Колибри,ハチドリ,นกฮัมมิงเบิร์ด,Colibrì,Colibri,Chim Ruồi,벌새,Kolibri,Colibri,Kolibri
area_name_316,角雕,角雕,Horned Eagle,角雕,Águila harpía,Южноамериканская гарпия,オウギワシ,นกอินทรีฮาร์ปี,Arpia,Cutucurim,Đại Bàng Harpy,부채머리수리,Harpyie,Harpie féroce,Elang Harpa
